transaction_id,property_type,location,transaction_date,price_aed,area_sqft,developer_name,project_name,unit_number,floor_number,bedrooms,bathrooms,parking_spaces,price_per_sqft,price_per_bedroom,area_classification,property_classification,developer_tier,market_segment,investment_potential,rental_yield_estimate,data_completeness,data_quality_score
001,Apartment,Dubai Marina,2024-01-15,1500000.0,1200.0,Emaar,Marina Heights,A-1501,15,2.0,2,1,1250.0,750000.0,Premium Waterfront,Residential,Tier 1,Premium,"{'score': 85, 'category': 'Excellent', 'factors': ['Average price per sqft', 'Premium location', 'High-demand property type', 'Optimal size range', 'Current market conditions'], 'price_per_sqft': 1250.0, 'area_classification': 'Premium Waterfront'}","{'annual_rent_estimate': 1728000.0, 'monthly_rent_estimate': 144000.0, 'yield_percentage': 115.2, 'base_rate_per_sqft': 120, 'property_type_multiplier': 1.0}",100.0,100.0
002,Villa,Palm Jumeirah,2024-01-20,8500000.0,4500.0,Nakheel,Palm Tower,V-2201,22,5.0,6,3,1888.888888888889,1700000.0,Premium Waterfront,Residential,Tier 1,Premium,"{'score': 71, 'category': 'Very Good', 'factors': ['Premium price per sqft', 'Premium location', 'Premium property type', 'Acceptable size range', 'Current market conditions'], 'price_per_sqft': 1888.888888888889, 'area_classification': 'Premium Waterfront'}","{'annual_rent_estimate': 8424000.0, 'monthly_rent_estimate': 702000.0, 'yield_percentage': 99.11, 'base_rate_per_sqft': 120, 'property_type_multiplier': 1.3}",100.0,100.0
003,Townhouse,Business Bay,2024-01-25,3200000.0,2800.0,DAMAC,Bay View,T-801,8,4.0,4,2,1142.857142857143,800000.0,Premium Central,Residential,Tier 1,Mid-Range,"{'score': 85, 'category': 'Excellent', 'factors': ['Good price per sqft', 'Premium location', 'Premium property type', 'Good size range', 'Current market conditions'], 'price_per_sqft': 1142.857142857143, 'area_classification': 'Premium Central'}","{'annual_rent_estimate': 4032000.0, 'monthly_rent_estimate': 336000.0, 'yield_percentage': 126.0, 'base_rate_per_sqft': 100, 'property_type_multiplier': 1.2}",100.0,100.0
004,Apartment,Downtown Dubai,2024-02-01,2800000.0,1800.0,Emaar,Burj Vista,A-2501,25,3.0,3,2,1555.5555555555557,933333.3333333334,Premium Central,Residential,Tier 1,Premium,"{'score': 85, 'category': 'Excellent', 'factors': ['Average price per sqft', 'Premium location', 'High-demand property type', 'Optimal size range', 'Current market conditions'], 'price_per_sqft': 1555.5555555555557, 'area_classification': 'Premium Central'}","{'annual_rent_estimate': 2160000.0, 'monthly_rent_estimate': 180000.0, 'yield_percentage': 77.14, 'base_rate_per_sqft': 100, 'property_type_multiplier': 1.0}",100.0,100.0
005,Office,Sheikh Zayed Road,2024-02-05,4500000.0,2500.0,DP World,Business Center,O-1201,12,,2,4,1800.0,,Premium Central,Commercial,Tier 1,Premium,"{'score': 72, 'category': 'Very Good', 'factors': ['Premium price per sqft', 'Premium location', 'Commercial property type', 'Good size range', 'Current market conditions'], 'price_per_sqft': 1800.0, 'area_classification': 'Premium Central'}","{'annual_rent_estimate': 4500000.0, 'monthly_rent_estimate': 375000.0, 'yield_percentage': 100.0, 'base_rate_per_sqft': 100, 'property_type_multiplier': 1.5}",85.71,70.02000000000001
006,Retail,Deira,2024-02-10,1800000.0,800.0,Union Properties,Deira Mall,R-301,3,,1,2,2250.0,,Mid-Range Central,Commercial,Tier 2,Premium,"{'score': 65, 'category': 'Very Good', 'factors': ['Premium price per sqft', 'Good location', 'Commercial property type', 'Optimal size range', 'Current market conditions'], 'price_per_sqft': 2250.0, 'area_classification': 'Mid-Range Central'}","{'annual_rent_estimate': 1075200.0, 'monthly_rent_estimate': 89600.0, 'yield_percentage': 59.73, 'base_rate_per_sqft': 70, 'property_type_multiplier': 1.6}",85.71,70.02000000000001
007,Apartment,Jumeirah Beach Residence,2024-02-15,2200000.0,1400.0,Select Group,Beach Residences,A-1801,18,2.0,2,1,1571.4285714285713,1100000.0,Premium Waterfront,Residential,Tier 2,Premium,"{'score': 85, 'category': 'Excellent', 'factors': ['Average price per sqft', 'Premium location', 'High-demand property type', 'Optimal size range', 'Current market conditions'], 'price_per_sqft': 1571.4285714285713, 'area_classification': 'Premium Waterfront'}","{'annual_rent_estimate': 2016000.0, 'monthly_rent_estimate': 168000.0, 'yield_percentage': 91.64, 'base_rate_per_sqft': 120, 'property_type_multiplier': 1.0}",100.0,100.0
008,Villa,Emirates Hills,2024-02-20,12000000.0,6000.0,Emaar,Emirates Living,V-3501,35,6.0,7,4,2000.0,2000000.0,Premium Suburban,Residential,Tier 1,Luxury,"{'score': 63, 'category': 'Good', 'factors': ['Premium price per sqft', 'High-value suburban location', 'Premium property type', 'Specialized size', 'Current market conditions'], 'price_per_sqft': 2000.0, 'area_classification': 'Premium Suburban'}","{'annual_rent_estimate': 7488000.0, 'monthly_rent_estimate': 624000.0, 'yield_percentage': 62.4, 'base_rate_per_sqft': 80, 'property_type_multiplier': 1.3}",100.0,100.0
009,Townhouse,The Springs,2024-02-25,3800000.0,3200.0,Emaar,Springs,T-1201,12,4.0,4,2,1187.5,950000.0,Premium Suburban,Residential,Tier 1,Premium,"{'score': 76, 'category': 'Very Good', 'factors': ['Good price per sqft', 'High-value suburban location', 'Premium property type', 'Acceptable size range', 'Current market conditions'], 'price_per_sqft': 1187.5, 'area_classification': 'Premium Suburban'}","{'annual_rent_estimate': 3686400.0, 'monthly_rent_estimate': 307200.0, 'yield_percentage': 97.01, 'base_rate_per_sqft': 80, 'property_type_multiplier': 1.2}",100.0,100.0
010,Apartment,Silicon Oasis,2024-03-01,950000.0,900.0,Dubai Silicon Oasis,Digital Oasis,A-801,8,1.0,1,1,1055.5555555555557,950000.0,Mid-Range Suburban,Residential,Tier 2,Premium,"{'score': 80, 'category': 'Excellent', 'factors': ['Good price per sqft', 'Good location', 'High-demand property type', 'Optimal size range', 'Current market conditions'], 'price_per_sqft': 1055.5555555555557, 'area_classification': 'Mid-Range Suburban'}","{'annual_rent_estimate': 648000.0, 'monthly_rent_estimate': 54000.0, 'yield_percentage': 68.21, 'base_rate_per_sqft': 60, 'property_type_multiplier': 1.0}",100.0,100.0
